Primary Type,Date,Count
GAMBLING,2012-12-31 00:00:00,724
GAMBLING,2013-12-31 00:00:00,596
GAMBLING,2014-12-31 00:00:00,389
HOMICIDE,2003-12-31 00:00:00,406
HOMICIDE,2004-12-31 00:00:00,454
HOMICIDE,2005-12-31 00:00:00,453
HOMICIDE,2006-12-31 00:00:00,477
HOMICIDE,2007-12-31 00:00:00,448
HOMICIDE,2008-12-31 00:00:00,513
HOMICIDE,2009-12-31 00:00:00,460
HOMICIDE,2010-12-31 00:00:00,438
HOMICIDE,2011-12-31 00:00:00,436
HOMICIDE,2012-12-31 00:00:00,503
HOMICIDE,2013-12-31 00:00:00,419
HOMICIDE,2014-12-31 00:00:00,386
INTERFERENCE WITH PUBLIC OFFICER,2003-12-31 00:00:00,260
INTERFERENCE WITH PUBLIC OFFICER,2004-12-31 00:00:00,530
INTERFERENCE WITH PUBLIC OFFICER,2005-12-31 00:00:00,614
INTERFERENCE WITH PUBLIC OFFICER,2006-12-31 00:00:00,756
INTERFERENCE WITH PUBLIC OFFICER,2007-12-31 00:00:00,677
INTERFERENCE WITH PUBLIC OFFICER,2008-12-31 00:00:00,579
INTERFERENCE WITH PUBLIC OFFICER,2009-12-31 00:00:00,572
INTERFERENCE WITH PUBLIC OFFICER,2010-12-31 00:00:00,796
INTERFERENCE WITH PUBLIC OFFICER,2011-12-31 00:00:00,1048
INTERFERENCE WITH PUBLIC OFFICER,2012-12-31 00:00:00,1228
INTERFERENCE WITH PUBLIC OFFICER,2013-12-31 00:00:00,1281
INTERFERENCE WITH PUBLIC OFFICER,2014-12-31 00:00:00,1358
INTIMIDATION,2003-12-31 00:00:00,239
INTIMIDATION,2004-12-31 00:00:00,349
INTIMIDATION,2005-12-31 00:00:00,258
INTIMIDATION,2006-12-31 00:00:00,276
INTIMIDATION,2007-12-31 00:00:00,255
INTIMIDATION,2008-12-31 00:00:00,260
INTIMIDATION,2009-12-31 00:00:00,231
INTIMIDATION,2010-12-31 00:00:00,197
INTIMIDATION,2011-12-31 00:00:00,170
INTIMIDATION,2012-12-31 00:00:00,156
INTIMIDATION,2013-12-31 00:00:00,133
INTIMIDATION,2014-12-31 00:00:00,108
KIDNAPPING,2003-12-31 00:00:00,472
KIDNAPPING,2004-12-31 00:00:00,481
KIDNAPPING,2005-12-31 00:00:00,389
KIDNAPPING,2006-12-31 00:00:00,339
KIDNAPPING,2007-12-31 00:00:00,329
