Primary Type,Date,Count
ARSON,2014-12-31 00:00:00,9
ASSAULT,2003-05-31 00:00:00,1669
ASSAULT,2003-06-30 00:00:00,2619
ASSAULT,2003-07-31 00:00:00,2793
ASSAULT,2003-08-31 00:00:00,2822
ASSAULT,2003-09-30 00:00:00,2706
ASSAULT,2003-10-31 00:00:00,2580
ASSAULT,2003-11-30 00:00:00,2154
ASSAULT,2003-12-31 00:00:00,2059
ASSAULT,2004-01-31 00:00:00,1959
ASSAULT,2004-02-29 00:00:00,2064
ASSAULT,2004-03-31 00:00:00,2584
ASSAULT,2004-04-30 00:00:00,2393
ASSAULT,2004-05-31 00:00:00,2777
ASSAULT,2004-06-30 00:00:00,2761
ASSAULT,2004-07-31 00:00:00,2720
ASSAULT,2004-08-31 00:00:00,2512
ASSAULT,2004-09-30 00:00:00,2691
ASSAULT,2004-10-31 00:00:00,2494
ASSAULT,2004-11-30 00:00:00,2021
ASSAULT,2004-12-31 00:00:00,1874
ASSAULT,2005-01-31 00:00:00,1860
ASSAULT,2005-02-28 00:00:00,1868
ASSAULT,2005-03-31 00:00:00,2214
ASSAULT,2005-04-30 00:00:00,2467
ASSAULT,2005-05-31 00:00:00,2626
ASSAULT,2005-06-30 00:00:00,2628
ASSAULT,2005-07-31 00:00:00,2554
ASSAULT,2005-08-31 00:00:00,2492
ASSAULT,2005-09-30 00:00:00,2504
ASSAULT,2005-10-31 00:00:00,2291
ASSAULT,2005-11-30 00:00:00,1844
ASSAULT,2005-12-31 00:00:00,1717
ASSAULT,2006-01-31 00:00:00,1959
ASSAULT,2006-02-28 00:00:00,1794
ASSAULT,2006-03-31 00:00:00,2180
ASSAULT,2006-04-30 00:00:00,2182
ASSAULT,2006-05-31 00:00:00,2509
ASSAULT,2006-06-30 00:00:00,2311
ASSAULT,2006-07-31 00:00:00,2510
ASSAULT,2006-08-31 00:00:00,2338
ASSAULT,2006-09-30 00:00:00,2193
ASSAULT,2006-10-31 00:00:00,2137
ASSAULT,2006-11-30 00:00:00,1908
ASSAULT,2006-12-31 00:00:00,1923
ASSAULT,2007-01-31 00:00:00,1722
ASSAULT,2007-02-28 00:00:00,1555
ASSAULT,2007-03-31 00:00:00,2297
ASSAULT,2007-04-30 00:00:00,2145
ASSAULT,2007-05-31 00:00:00,2732
ASSAULT,2007-06-30 00:00:00,2416
ASSAULT,2007-07-31 00:00:00,2567
ASSAULT,2007-08-31 00:00:00,2364
ASSAULT,2007-09-30 00:00:00,2452
ASSAULT,2007-10-31 00:00:00,2421
ASSAULT,2007-11-30 00:00:00,1899
ASSAULT,2007-12-31 00:00:00,1744
ASSAULT,2008-01-31 00:00:00,1754
ASSAULT,2008-02-29 00:00:00,1762
ASSAULT,2008-03-31 00:00:00,2043
ASSAULT,2008-04-30 00:00:00,2444
ASSAULT,2008-05-31 00:00:00,2508
ASSAULT,2008-06-30 00:00:00,2434
ASSAULT,2008-07-31 00:00:00,2429
ASSAULT,2008-08-31 00:00:00,2399
ASSAULT,2008-09-30 00:00:00,2259
ASSAULT,2008-10-31 00:00:00,2148
ASSAULT,2008-11-30 00:00:00,1734
ASSAULT,2008-12-31 00:00:00,1532
ASSAULT,2009-01-31 00:00:00,1685
ASSAULT,2009-02-28 00:00:00,1648
ASSAULT,2009-03-31 00:00:00,2062
ASSAULT,2009-04-30 00:00:00,2048
ASSAULT,2009-05-31 00:00:00,2222
ASSAULT,2009-06-30 00:00:00,2120
ASSAULT,2009-07-31 00:00:00,2097
ASSAULT,2009-08-31 00:00:00,2052
ASSAULT,2009-09-30 00:00:00,2014
ASSAULT,2009-10-31 00:00:00,1815
ASSAULT,2009-11-30 00:00:00,1644
ASSAULT,2009-12-31 00:00:00,1453
ASSAULT,2010-01-31 00:00:00,1486
ASSAULT,2010-02-28 00:00:00,1435
ASSAULT,2010-03-31 00:00:00,1900
ASSAULT,2010-04-30 00:00:00,1970
ASSAULT,2010-05-31 00:00:00,2087
ASSAULT,2010-06-30 00:00:00,2034
ASSAULT,2010-07-31 00:00:00,2054
ASSAULT,2010-08-31 00:00:00,2015
ASSAULT,2010-09-30 00:00:00,1878
ASSAULT,2010-10-31 00:00:00,1841
ASSAULT,2010-11-30 00:00:00,1566
ASSAULT,2010-12-31 00:00:00,1268
ASSAULT,2011-01-31 00:00:00,1388
ASSAULT,2011-02-28 00:00:00,1284
ASSAULT,2011-03-31 00:00:00,1666
ASSAULT,2011-04-30 00:00:00,1793
ASSAULT,2011-05-31 00:00:00,1951
ASSAULT,2011-06-30 00:00:00,1966
ASSAULT,2011-07-31 00:00:00,2029
ASSAULT,2011-08-31 00:00:00,1958
ASSAULT,2011-09-30 00:00:00,1800
ASSAULT,2011-10-31 00:00:00,1708
ASSAULT,2011-11-30 00:00:00,1455
ASSAULT,2011-12-31 00:00:00,1409
ASSAULT,2012-01-31 00:00:00,1294
ASSAULT,2012-02-29 00:00:00,1324
ASSAULT,2012-03-31 00:00:00,1856
ASSAULT,2012-04-30 00:00:00,1626
ASSAULT,2012-05-31 00:00:00,1927
ASSAULT,2012-06-30 00:00:00,1896
ASSAULT,2012-07-31 00:00:00,1929
ASSAULT,2012-08-31 00:00:00,1890
ASSAULT,2012-09-30 00:00:00,1635
ASSAULT,2012-10-31 00:00:00,1728
ASSAULT,2012-11-30 00:00:00,1404
ASSAULT,2012-12-31 00:00:00,1388
ASSAULT,2013-01-31 00:00:00,1396
ASSAULT,2013-02-28 00:00:00,1181
ASSAULT,2013-03-31 00:00:00,1415
ASSAULT,2013-04-30 00:00:00,1611
ASSAULT,2013-05-31 00:00:00,1843
ASSAULT,2013-06-30 00:00:00,1758
ASSAULT,2013-07-31 00:00:00,1634
ASSAULT,2013-08-31 00:00:00,1610
ASSAULT,2013-09-30 00:00:00,1611
ASSAULT,2013-10-31 00:00:00,1511
ASSAULT,2013-11-30 00:00:00,1254
ASSAULT,2013-12-31 00:00:00,1142
ASSAULT,2014-01-31 00:00:00,1036
ASSAULT,2014-02-28 00:00:00,1023
ASSAULT,2014-03-31 00:00:00,1388
ASSAULT,2014-04-30 00:00:00,1406
ASSAULT,2014-05-31 00:00:00,1669
ASSAULT,2014-06-30 00:00:00,1659
ASSAULT,2014-07-31 00:00:00,1629
ASSAULT,2014-08-31 00:00:00,1611
ASSAULT,2014-09-30 00:00:00,1570
ASSAULT,2014-10-31 00:00:00,1496
ASSAULT,2014-11-30 00:00:00,1154
ASSAULT,2014-12-31 00:00:00,502
BATTERY,2003-05-31 00:00:00,4771
BATTERY,2003-06-30 00:00:00,8553
BATTERY,2003-07-31 00:00:00,8464
BATTERY,2003-08-31 00:00:00,8252
BATTERY,2003-09-30 00:00:00,7507
BATTERY,2003-10-31 00:00:00,7776
BATTERY,2003-11-30 00:00:00,6580
BATTERY,2003-12-31 00:00:00,6123
BATTERY,2004-01-31 00:00:00,6095
BATTERY,2004-02-29 00:00:00,6276
BATTERY,2004-03-31 00:00:00,7556
BATTERY,2004-04-30 00:00:00,7334
BATTERY,2004-05-31 00:00:00,8430
BATTERY,2004-06-30 00:00:00,8326
BATTERY,2004-07-31 00:00:00,8074
BATTERY,2004-08-31 00:00:00,7635
BATTERY,2004-09-30 00:00:00,7789
BATTERY,2004-10-31 00:00:00,7544
BATTERY,2004-11-30 00:00:00,6188
BATTERY,2004-12-31 00:00:00,5886
BATTERY,2005-01-31 00:00:00,5920
BATTERY,2005-02-28 00:00:00,5700
BATTERY,2005-03-31 00:00:00,6622
BATTERY,2005-04-30 00:00:00,7578
BATTERY,2005-05-31 00:00:00,8215
BATTERY,2005-06-30 00:00:00,8140
BATTERY,2005-07-31 00:00:00,8046
BATTERY,2005-08-31 00:00:00,7623
BATTERY,2005-09-30 00:00:00,7520
BATTERY,2005-10-31 00:00:00,7161
BATTERY,2005-11-30 00:00:00,5965
BATTERY,2005-12-31 00:00:00,5473
BATTERY,2006-01-31 00:00:00,5962
BATTERY,2006-02-28 00:00:00,5397
BATTERY,2006-03-31 00:00:00,6877
BATTERY,2006-04-30 00:00:00,7035
BATTERY,2006-05-31 00:00:00,7756
BATTERY,2006-06-30 00:00:00,7390
BATTERY,2006-07-31 00:00:00,7947
BATTERY,2006-08-31 00:00:00,6884
BATTERY,2006-09-30 00:00:00,6739
BATTERY,2006-10-31 00:00:00,6769
BATTERY,2006-11-30 00:00:00,6090
BATTERY,2006-12-31 00:00:00,5817
BATTERY,2007-01-31 00:00:00,5584
BATTERY,2007-02-28 00:00:00,4870
BATTERY,2007-03-31 00:00:00,6883
BATTERY,2007-04-30 00:00:00,6606
BATTERY,2007-05-31 00:00:00,7872
BATTERY,2007-06-30 00:00:00,7763
BATTERY,2007-07-31 00:00:00,7723
BATTERY,2007-08-31 00:00:00,7015
BATTERY,2007-09-30 00:00:00,7265
BATTERY,2007-10-31 00:00:00,7009
BATTERY,2007-11-30 00:00:00,5592
BATTERY,2007-12-31 00:00:00,5407
BATTERY,2008-01-31 00:00:00,5490
BATTERY,2008-02-29 00:00:00,5242
BATTERY,2008-03-31 00:00:00,6209
BATTERY,2008-04-30 00:00:00,6726
BATTERY,2008-05-31 00:00:00,7442
BATTERY,2008-06-30 00:00:00,7502
BATTERY,2008-07-31 00:00:00,7335
BATTERY,2008-08-31 00:00:00,7150
BATTERY,2008-09-30 00:00:00,6570
BATTERY,2008-10-31 00:00:00,6133
BATTERY,2008-11-30 00:00:00,5436
BATTERY,2008-12-31 00:00:00,4678
BATTERY,2009-01-31 00:00:00,5036
BATTERY,2009-02-28 00:00:00,4961
BATTERY,2009-03-31 00:00:00,6211
BATTERY,2009-04-30 00:00:00,5862
BATTERY,2009-05-31 00:00:00,6825
BATTERY,2009-06-30 00:00:00,6551
BATTERY,2009-07-31 00:00:00,6244
BATTERY,2009-08-31 00:00:00,6182
BATTERY,2009-09-30 00:00:00,5789
BATTERY,2009-10-31 00:00:00,5237
BATTERY,2009-11-30 00:00:00,5067
BATTERY,2009-12-31 00:00:00,4493
BATTERY,2010-01-31 00:00:00,4661
BATTERY,2010-02-28 00:00:00,4251
BATTERY,2010-03-31 00:00:00,6028
BATTERY,2010-04-30 00:00:00,5867
BATTERY,2010-05-31 00:00:00,6407
BATTERY,2010-06-30 00:00:00,6332
BATTERY,2010-07-31 00:00:00,6308
BATTERY,2010-08-31 00:00:00,6056
BATTERY,2010-09-30 00:00:00,5362
BATTERY,2010-10-31 00:00:00,5415
BATTERY,2010-11-30 00:00:00,4649
BATTERY,2010-12-31 00:00:00,4057
BATTERY,2011-01-31 00:00:00,4433
BATTERY,2011-02-28 00:00:00,3767
BATTERY,2011-03-31 00:00:00,5175
BATTERY,2011-04-30 00:00:00,5089
BATTERY,2011-05-31 00:00:00,5796
BATTERY,2011-06-30 00:00:00,5886
BATTERY,2011-07-31 00:00:00,6230
BATTERY,2011-08-31 00:00:00,5433
BATTERY,2011-09-30 00:00:00,4774
BATTERY,2011-10-31 00:00:00,5070
BATTERY,2011-11-30 00:00:00,4361
BATTERY,2011-12-31 00:00:00,4438
BATTERY,2012-01-31 00:00:00,4306
BATTERY,2012-02-29 00:00:00,3961
BATTERY,2012-03-31 00:00:00,5275
BATTERY,2012-04-30 00:00:00,4695
BATTERY,2012-05-31 00:00:00,5840
BATTERY,2012-06-30 00:00:00,5806
BATTERY,2012-07-31 00:00:00,5971
BATTERY,2012-08-31 00:00:00,5374
BATTERY,2012-09-30 00:00:00,4759
BATTERY,2012-10-31 00:00:00,4731
BATTERY,2012-11-30 00:00:00,4260
BATTERY,2012-12-31 00:00:00,4148
BATTERY,2013-01-31 00:00:00,3926
BATTERY,2013-02-28 00:00:00,3495
BATTERY,2013-03-31 00:00:00,4371
BATTERY,2013-04-30 00:00:00,4637
BATTERY,2013-05-31 00:00:00,5214
BATTERY,2013-06-30 00:00:00,5460
BATTERY,2013-07-31 00:00:00,5266
BATTERY,2013-08-31 00:00:00,5043
BATTERY,2013-09-30 00:00:00,4723
BATTERY,2013-10-31 00:00:00,4450
BATTERY,2013-11-30 00:00:00,3768
BATTERY,2013-12-31 00:00:00,3637
BATTERY,2014-01-31 00:00:00,3329
BATTERY,2014-02-28 00:00:00,3173
BATTERY,2014-03-31 00:00:00,3973
BATTERY,2014-04-30 00:00:00,4184
BATTERY,2014-05-31 00:00:00,4801
BATTERY,2014-06-30 00:00:00,4816
BATTERY,2014-07-31 00:00:00,4773
BATTERY,2014-08-31 00:00:00,4740
BATTERY,2014-09-30 00:00:00,4235
BATTERY,2014-10-31 00:00:00,4061
BATTERY,2014-11-30 00:00:00,3647
BATTERY,2014-12-31 00:00:00,1397
BURGLARY,2003-05-31 00:00:00,1297
BURGLARY,2003-06-30 00:00:00,2103
BURGLARY,2003-07-31 00:00:00,2233
BURGLARY,2003-08-31 00:00:00,2330
BURGLARY,2003-09-30 00:00:00,2267
BURGLARY,2003-10-31 00:00:00,2349
BURGLARY,2003-11-30 00:00:00,2108
BURGLARY,2003-12-31 00:00:00,2076
BURGLARY,2004-01-31 00:00:00,1758
BURGLARY,2004-02-29 00:00:00,1584
BURGLARY,2004-03-31 00:00:00,1875
BURGLARY,2004-04-30 00:00:00,1887
BURGLARY,2004-05-31 00:00:00,2014
BURGLARY,2004-06-30 00:00:00,2131
BURGLARY,2004-07-31 00:00:00,2324
BURGLARY,2004-08-31 00:00:00,2276
BURGLARY,2004-09-30 00:00:00,2230
BURGLARY,2004-10-31 00:00:00,2169
BURGLARY,2004-11-30 00:00:00,2204
BURGLARY,2004-12-31 00:00:00,2112
BURGLARY,2005-01-31 00:00:00,1817
BURGLARY,2005-02-28 00:00:00,1492
BURGLARY,2005-03-31 00:00:00,1783
BURGLARY,2005-04-30 00:00:00,1970
BURGLARY,2005-05-31 00:00:00,2179
BURGLARY,2005-06-30 00:00:00,2280
BURGLARY,2005-07-31 00:00:00,2395
BURGLARY,2005-08-31 00:00:00,2503
BURGLARY,2005-09-30 00:00:00,2446
BURGLARY,2005-10-31 00:00:00,2468
BURGLARY,2005-11-30 00:00:00,2197
BURGLARY,2005-12-31 00:00:00,1974
BURGLARY,2006-01-31 00:00:00,2016
BURGLARY,2006-02-28 00:00:00,1582
BURGLARY,2006-03-31 00:00:00,1871
BURGLARY,2006-04-30 00:00:00,1702
BURGLARY,2006-05-31 00:00:00,2186
BURGLARY,2006-06-30 00:00:00,1994
BURGLARY,2006-07-31 00:00:00,2275
BURGLARY,2006-08-31 00:00:00,2235
